Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
紫荊南路,Bauhinia Road South,元朗,Yuen Long,None
紫荊西路,Bauhinia Road West,元朗,Yuen Long,None
堤畔徑,Bayside Drive,愉景灣,Discovery Bay,None
海灘道,Beach Road,淺水灣,Repulse Bay,None
筆架山道,Beacon Hill Road,九龍塘,Kowloon Tong,None
必發道,Bedford Road,大角咀,Tai Kok Tsui,british-p
櫸樹街,Beech Street,大角咀,Tai Kok Tsui,None
海棠徑,Begonia Path,元朗,Yuen Long,None
海棠路,Begonia Road,又一村,Yau Yat Chuen,None
貝沙灣道,Bel-air Avenue,薄扶林,Pok Fu Lam,None
貝沙山道,Bel-air Peak Avenue,薄扶林,Pok Fu Lam,None
貝沙山徑,Bel-air Peak Rise,薄扶林,Pok Fu Lam,None
貝沙徑,Bel-air Rise,薄扶林,Pok Fu Lam,None
卑路乍街,Belcher's Street,堅尼地城、石塘咀、薄扶林,"Kennedy Town, Shek Tong Tsui, Pok Fu Lam",officer
巴芬道,Belfran Road,九龍塘,Kowloon Tong,None
麗景道,Belleview Drive,淺水灣,Repulse Bay,None
寶域路,Berwick Road,八鄉、石崗,"Pat Heung, Shek Kong",british-p
巴域街,Berwick Street,石硤尾、深水埗,"Shek Kip Mei, Sham Shui Po",british-p
大浪灣道,Big Wave Bay Road,石澳,Shek O,None
璧如徑,Bijou Drive,愉景灣,Discovery Bay,None
白楊徑,Birch Path,元朗,Yuen Long,None
碧荔道,Bisney Road,薄扶林,Pok Fu Lam,None
布力徑,Black's Link,山頂,The Peak,officer
白蘭軒道,Blenheim Avenue,尖沙咀,Tsim Sha Tsui,ship
藍塘道,Blue Pool Road,跑馬地,Happy Valley,None
百祿徑,Bluff Path,山頂,The Peak,None
艇街,Boat Street,北角,North Point,singlecn
般咸道,Bonham Road,半山區、薄扶林,"Mid-levels, Pok Fu Lam",governor
文咸東街,Bonham Strand,上環,Sheung Wan,governor
文咸西街,Bonham Strand West,上環,Sheung Wan,governor
波老道,Borrett Road,半山區,Mid-levels,officer
界限街,Boundary Street,九龍塘、深水埗、旺角、九龍城、大角咀,"Kowloon Tong, Sham Shui Po, Mong Kok, Kowloon City, Tai Kok Tsui",None
寶雲徑,Bowen Drive,金鐘,Admiralty,governor
寶雲道,Bowen Road,半山區,Mid-levels,governor
寶靈街,Bowring Street,油麻地,Yau Ma Tei,governor
寶靈頓道,Bowrington Road,灣仔,Wan Chai,governor
布思道,Boyce Road,銅鑼灣,Causeway Bay,None
寶馬山道,Braemar Hill Road,北角,North Point,None
布力架街,Braga Circuit,九龍塘,Kowloon Tong,officials
卑利士道,Breezy Path,半山區,Mid-levels,None
蒲魯賢徑,Brewin Path,半山區,Mid-levels,officials
比雅道,Briar Avenue,跑馬地,Happy Valley,None
新娘潭路,Bride's Pool Road,大埔,Tai Po,None
必列者士街,Bridges Street,上環,Sheung Wan,officials
碧仙桃路,Bristol Avenue,尖沙咀,Tsim Sha Tsui,None
廣播道,Broadcast Drive,九龍塘,Kowloon Tong,None
百老匯街,Broadway,荔枝角,Lai Chi Kok,None
樂活道,Broadwood Road,跑馬地,Happy Valley,officer
蟠龍道,Broom Road,跑馬地,Happy Valley,None
布朗街,Brown Street,銅鑼灣,Causeway Bay,None
寶其利街,Bulkeley Street,紅磡,Hung Hom,None
普樂里,Bullock Lane,灣仔,Wan Chai,None
畢街,Burd Street,上環,Sheung Wan,singlecn
巴路士街,Burrows Street,灣仔,Wan Chai,None
弼街,Bute Street,旺角,Mong Kok,"singlecn,british-o"
蝴蝶谷道,Butterfly Valley Road,荔枝角,Lai Chi Kok,None
畢斯路,Butts Avenue,八鄉、石崗,"Pat Heung, Shek Kong",None
加多近街,Cadogan Street,堅尼地城,Kennedy Town,british-o
堅巷,Caine Lane,上環,Sheung Wan,"singlecn,officials"
堅道,Caine Road,半山區、中環,"Mid-levels, Central","singlecn,officials"
郝德傑道,Caldecott Road,長沙灣,Cheung Sha Wan,governor
歌老打路,Calder Path,半山區,Mid-levels,None
劍橋道,Cambridge Road,九龍塘,Kowloon Tong,british-p
茶花徑,Camelia Path,元朗,Yuen Long,None
金馬倫里,Cameron Lane,尖沙咀,Tsim Sha Tsui,officer
金馬倫道,Cameron Road,尖沙咀,Tsim Sha Tsui,officer
營盤街,Camp Street,深水埗,Sham Shui Po,None
堅拿道東,Canal Road East,銅鑼灣,Causeway Bay,None
堅拿道天橋,Canal Road Flyover,灣仔,Wan Chai,None
堅拿道西,Canal Road West,灣仔,Wan Chai,None
景隆街,Cannon Street,銅鑼灣,Causeway Bay,None
廣東道,Canton Road,尖沙咀、旺角、油麻地,"Tsim Sha Tsui, Mong Kok, Yau Ma Tei",chi-place
歌連臣角道,Cape Collinson Road,柴灣,Chai Wan,officials
鶴咀道,Cape D'Aguilar Road,石澳,Shek O,officer
環角徑,Cape Drive,赤柱,Stanley,None
環角道,Cape Road,赤柱、舂坎角,"Stanley, Chung Hom Kok",None
蘅安徑,Capeland Drive,愉景灣,Discovery Bay,None
蘅欣徑,Caperidge Drive,愉景灣,Discovery Bay,None
蘅暉徑,Capevale Drive,愉景灣,Discovery Bay,None
貨運道,Cargo Circuit,九龍灣、牛池灣,"Kowloon Bay, Ngau Chi Wan",None
卡米爾徑,Carmel Avenue,元朗,Yuen Long,california
佳美道,Carmel Road,赤柱,Stanley,None
迦密村街,Carmel Village Street,何文田,Ho Man Tin,None
加拿分道,Carnarvon Road,尖沙咀,Tsim Sha Tsui,british-o
加路連山道,Caroline Hill Road,銅鑼灣,Causeway Bay,None
賈炳達道,Carpenter Road,九龍城,Kowloon City,None
高槐路,Cassia Road,又一村,Yau Yat Chuen,None
衛城里,Castle Lane,半山區,Mid-levels,None
青山道,Castle Peak Road,深水埗、長沙灣,"Sham Shui Po, Cheung Sha Wan",None
青山公路青山灣段,Castle Peak Road - Castle Peak Bay,屯門,Tuen Mun,None
青山公路洲頭段,Castle Peak Road - Chau Tau,古洞,Kwu Tung,None
青山公路洪水橋段,Castle Peak Road - Hung Shui Kiu,洪水橋,Hung Shui Kiu,None
青山公路葵涌段,Castle Peak Road - Kwai Chung,葵涌,Kwai Chung,None
青山公路古洞段,Castle Peak Road - Kwu Tung,古洞,Kwu Tung,None
青山公路藍地段,Castle Peak Road - Lam Tei,藍地,Lam Tei,None
青山公路嶺南段,Castle Peak Road - Lingnan,屯門,Tuen Mun,None
青山公路米埔段,Castle Peak Road - Mai Po,元朗,Yuen Long,None
青山公路新大欖段,Castle Peak Road - New Tai Lam,小欖,Siu Lam,None
青山公路新汀九段,Castle Peak Road - New Ting Kau,汀九,Ting Kau,None
青山公路屏山段,Castle Peak Road - Ping Shan,屏山,Ping Shan,None
青山公路新墟段,Castle Peak Road - San Hui,屯門,Tuen Mun,None
青山公路新田段,Castle Peak Road - San Tin,元朗,Yuen Long,None
青山公路深井段,Castle Peak Road - Sham Tseng,深井,Sham Tseng,None
青山公路掃管笏段,Castle Peak Road - So Kwun Wat,掃管笏,So Kwun Wat,None
青山公路大欖段,Castle Peak Road - Tai Lam,大欖,Tai Lam,None
青山公路潭尾段,Castle Peak Road - Tam Mei,潭尾,Tam Mei,None
青山公路汀九段,Castle Peak Road - Ting Kau,汀九,Ting Kau,None
青山公路青龍頭段,Castle Peak Road - Tsing Lung Tau,深井,Sham Tseng,None
青山公路荃灣段,Castle Peak Road - Tsuen Wan,荃灣,Tsuen Wan,None
青山公路元朗段,Castle Peak Road - Yuen Long,元朗,Yuen Long,None
衛城道,Castle Road,半山區,Mid-levels,None
衛城坊,Castle Steps,上環,Sheung Wan,None
卡連拿徑,Catalina Avenue,元朗,Yuen Long,california
吉席街,Catchick Street,堅尼地城,Kennedy Town,officials
航膳中路,Catering Road Central,赤鱲角,Chek Lap Kok,None
航膳東路,Catering Road East,赤鱲角,Chek Lap Kok,None
航膳西路,Catering Road West,赤鱲角,Chek Lap Kok,None
高士威道,Causeway Road,銅鑼灣,Causeway Bay,None
松柏徑,Cedar Drive,大潭,Tai Tam,None
柏樹徑,Cedar Path,元朗,Yuen Long,None
柏樹街,Cedar Street,深水埗,Sham Shui Po,None
正街,Centre Street,西營盤,Sai Ying Pun,singlecn
茶果嶺道,Cha Kwo Ling Road,油塘、茶果嶺、觀塘,"Yau Tong, Cha Kwo Ling, Kwun Tong",None
寨乪路,Chai Kek Road,林村,Lam Tsuen,None
柴灣角街,Chai Wan Kok Street,荃灣,Tsuen Wan,None
柴灣道,Chai Wan Road,柴灣、筲箕灣,"Chai Wan, Shau Kei Wan",None
澤祥街,Chak Cheung Street,沙田,Sha Tin,None
澤豐街,Chak Fung Street,屯門,Tuen Mun,None
澤安道,Chak On Road,深水埗、石硤尾,"Sham Shui Po, Shek Kip Mei",None
澤安道南,Chak On Road South,石硤尾,Shek Kip Mei,None
澤欣路,Chak Yan Road,坪洲、馬灣,"Peng Chau, Ma Wan",None
親民街,Chan Man Street,西貢,Sai Kung,None
陳東里,Chan Tong Lane,灣仔,Wan Chai,None
贊善里,Chancery Lane,中環,Central,None
橙花路,Chang Fa Avenue,牛池灣,Ngau Chi Wan,None
長沙街,Changsha Street,旺角,Mong Kok,chi-place
集福路,Chap Fuk Road,將軍澳,Tseung Kwan O,None
插桅杆街,Chap Wai Kon Street,沙田,Sha Tin,None
遮打道,Chater Road,中環,Central,officials
漆咸圍,Chatham Court,尖沙咀,Tsim Sha Tsui,officials
漆咸徑,Chatham Path,山頂,The Peak,officials
漆咸道北,Chatham Road North,紅磡,Hung Hom,officials
漆咸道南,Chatham Road South,尖沙咀,Tsim Sha Tsui,officials
洲頭南路,Chau Tau South Road,新田、古洞,"San Tin, Kwu Tung",None
洲頭西路,Chau Tau West Road,新田,San Tin,None
智芳街,Che Fong Street,葵涌,Kwai Chung,None
輋徑篤路,Che Keng Tuk Road,西貢,Sai Kung,None
車公廟路,Che Kung Miu Road,大圍,Tai Wai,None
車坪街,Che Ping Street,沙頭角,Sha Tau Kok,None
赤鱲角南路,Chek Lap Kok South Road,東涌,Tung Chung,None
成都道,Chengtu Road,香港仔,Aberdeen,chi-place
暢行里,Cheong Hang Lane,紅磡,Hung Hom,None
暢行道,Cheong Hang Road,紅磡,Hung Hom,None
暢興路,Cheong Hing Road,赤鱲角,Chek Lap Kok,None
暢航路,Cheong Hong Road,赤鱲角,Chek Lap Kok,None
暢景路,Cheong King Road,赤鱲角,Chek Lap Kok,None
暢連徑,Cheong Lin Path,赤鱲角,Chek Lap Kok,None
暢連路,Cheong Lin Road,赤鱲角,Chek Lap Kok,None
長樂街,Cheong Lok Street,油麻地,Yau Ma Tei,chi-place
昌明街,Cheong Ming Street,跑馬地,Happy Valley,None
昌新里,Cheong San Lane,深水埗,Sham Shui Po,None
昌盛徑,Cheong Shing Path,元朗,Yuen Long,None
暢順路,Cheong Shun Road,赤鱲角,Chek Lap Kok,None
昌泰街,Cheong Tai Street,荃灣,Tsuen Wan,None
暢達路,Cheong Tat Road,赤鱲角,Chek Lap Kok,None
暢通道,Cheong Tung Road,紅磡,Hung Hom,None
暢通道南,Cheong Tung Road South,紅磡,Hung Hom,None
暢運道,Cheong Wan Road,紅磡,Hung Hom,None
暢榮路,Cheong Wing Road,赤鱲角,Chek Lap Kok,None
暢旺路,Cheong Wong Road,赤鱲角,Chek Lap Kok,None
暢匯路,Cheong Wui Road,赤鱲角,Chek Lap Kok,None
暢業路,Cheong Yip Road,赤鱲角,Chek Lap Kok,None
櫻桃徑,Cherry Path,元朗,Yuen Long,None
櫻桃街,Cherry Street,大角咀、旺角,"Tai Kok Tsui, Mong Kok",None
志士達道,Chester Road,九龍塘,Kowloon Tong,british-p
卓運街,Cheuk Wan Street,上水,Sheung Shui,None
長洲東堤路,Cheung Chau Beach Road,長洲,Cheung Chau,None
長洲教堂路,Cheung Chau Church Road,長洲,Cheung Chau,None
長洲電廠徑,Cheung Chau Electric Path,長洲,Cheung Chau,None
長洲醫院路,Cheung Chau Hospital Road,長洲,Cheung Chau,None
長洲山頂道,Cheung Chau Peak Road,長洲,Cheung Chau,None
長洲山頂道西,Cheung Chau Peak Road West,長洲,Cheung Chau,None
長洲西堤道,Cheung Chau Sai Tai Road,長洲,Cheung Chau,None
長洲體育路,Cheung Chau Sports Road,長洲,Cheung Chau,None
長智巷,Cheung Chi Lane,長洲,Cheung Chau,None
長俊路,Cheung Chun Road,長洲,Cheung Chau,None
長輝路,Cheung Fai Road,青衣,Tsing Yi,None
長發街,Cheung Fat Street,深水埗、長沙灣,"Sham Shui Po, Cheung Sha Wan",None
長富街,Cheung Fu Street,長沙,Cheung Sha,None
長坑路,Cheung Hang Road,荔枝角,Lai Chi Kok,None
長好街,Cheung Ho Street,青衣,Tsing Yi,None
長康街,Cheung Hong Street,北角,North Point,None
長庚里,Cheung Kan Lane,石塘咀,Shek Tong Tsui,None
長健路,Cheung Kin Road,長洲,Cheung Chau,None
長貴路,Cheung Kwai Road,長洲,Cheung Chau,None
長荔街,Cheung Lai Street,荔枝角、深水埗,"Lai Chi Kok, Sham Shui Po",None
祥利街,Cheung Lee Street,柴灣,Chai Wan,None
長瀝尾街,Cheung Lek Mei Street,火炭,Fo Tan,None
長隆街,Cheung Lung Street,青衣,Tsing Yi,None
祥民道,Cheung Man Road,柴灣,Chai Wan,None
長茂街,Cheung Mou Street,荔枝角,Lai Chi Kok,None
長寧街,Cheung Ning Street,土瓜灣,To Kwa Wan,None
長安里,Cheung On Lane,西營盤,Sai Ying Pun,None
長北路,Cheung Pak Road,長洲,Cheung Chau,None
象鼻山路,Cheung Pei Shan Road,荃灣,Tsuen Wan,None
張保仔路,Cheung Po Tsai Road,長洲,Cheung Chau,None
長沙灣徑,Cheung Sha Wan Path,深水埗、荔枝角,"Sham Shui Po, Lai Chi Kok",None
長沙灣道,Cheung Sha Wan Road,深水埗、長沙灣,"Sham Shui Po, Cheung Sha Wan",None
象山邨東路,Cheung Shan Estate Road East,葵涌,Kwai Chung,None
象山邨西路,Cheung Shan Estate Road West,葵涌,Kwai Chung,None
長碩路,Cheung Shek Road,長洲,Cheung Chau,None
長城街,Cheung Shing Street,沙田,Sha Tin,None
長盛街,Cheung Shing Street,元朗,Yuen Long,None
樟樹灘路,Cheung Shue Tan Road,大埔滘,Tai Po Kau,None
長順街,Cheung Shun Street,長沙灣,Cheung Sha Wan,None
樟大路,Cheung Tai Road,大埔滘,Tai Po Kau,None
祥德里,Cheung Tak Lane,灣仔,Wan Chai,None
長達路,Cheung Tat Road,青衣,Tsing Yi,None
長青公路,Cheung Tsing Highway,青衣,Tsing Yi,None
長青隧道,Cheung Tsing Tunnel,青衣,Tsing Yi,None
翔東路,Cheung Tung Road,東涌,Tung Chung,None
昌華街,Cheung Wah Street,長沙灣,Cheung Sha Wan,None
長環街,Cheung Wan Street,青衣,Tsing Yi,None
昌榮路,Cheung Wing Road,葵涌,Kwai Chung,None
長旺道,Cheung Wong Road,旺角,Mong Kok,None
祥和里,Cheung Woo Lane,灣仔,Wan Chai,None
長仁巷,Cheung Yan Lane,長洲,Cheung Chau,None
長義街,Cheung Yee Street,長沙灣,Cheung Sha Wan,None
祥業街,Cheung Yip Street,九龍灣,Kowloon Bay,None
長裕街,Cheung Yue Street,長沙灣,Cheung Sha Wan,None
長源路,Cheung Yuen Road,荔枝角,Lai Chi Kok,None
智昌路,Chi Cheong Road,上水,Sheung Shui,None
志輝徑,Chi Fai Path,西貢,Sai Kung,None
置富徑,Chi Fu Close,薄扶林,Pok Fu Lam,None
置富道,Chi Fu Road,薄扶林,Pok Fu Lam,None
置福圍,Chi Fuk Circuit,粉嶺,Fanling,None
治河路,Chi Ho Road,錦田,Kam Tin,None
置嘉里,Chi Ka Lane,粉嶺,Fanling,None
浙江街,Chi Kiang Street,土瓜灣,To Kwa Wan,chi-place
志蓮道,Chi Lin Drive,鑽石山,Diamond Hill,None
芝麻坑路,Chi Ma Hang Road,大嶼山,Lantau Island,None
芝麻灣道,Chi Ma Wan Road,芝麻灣,Chi Ma Wan,None
治民街,Chi Man Street,油麻地、何文田,"Yau Ma Tei, Ho Man Tin",None
智明街,Chi Ming Street,上水,Sheung Shui,None
志昂路,Chi Ngong Road,荔枝角,Lai Chi Kok,None
至善街,Chi Shin Street,將軍澳,Tseung Kwan O,None
志盛路,Chi Shing Road,清水灣,Clear Water Bay,None
智順里,Chi Shun Lane,粉嶺、上水,"Fanling, Sheung Shui",None
祠心路,Chi Sum Road,沙頭角,Sha Tau Kok,None
置華里,Chi Wa Lane,粉嶺,Fanling,None
置榮徑,Chi Wing Close,粉嶺,Fanling,None
志和街,Chi Wo Street,油麻地,Yau Ma Tei,None
志仁里,Chi Yan Lane,坪洲,Peng Chau,None
志仁街,Chi Yan Street,坪洲,Peng Chau,None
智賢里,Chi Yin Lane,上水,Sheung Shui,None
尚堤徑,Chianti Drive,愉景灣,Discovery Bay,None
芝古台,Chico Terrace,半山區,Mid-levels,None
積財里,Chik Choi Lane,大圍,Tai Wai,None
積存街,Chik Chuen Street,大圍,Tai Wai,None
積輝街,Chik Fai Street,大圍,Tai Wai,None
積富街,Chik Fu Street,大圍,Tai Wai,None
積福街,Chik Fuk Street,大圍,Tai Wai,None
積祿里,Chik Luk Lane,大圍,Tai Wai,None
積壽里,Chik Sau Lane,大圍,Tai Wai,None
積信街,Chik Shun Street,大圍,Tai Wai,None
積泰里,Chik Tai Lane,大圍,Tai Wai,None
積德里,Chik Tak Lane,大圍,Tai Wai,None
積運街,Chik Wan Street,大圍,Tai Wai,None
詹屋路,Chim Uk Road,汀角,Ting Kok,None
前街,Chin Street,坪洲,Peng Chau,singlecn
呈祥道,Ching Cheung Road,荔枝角、長沙灣,"Lai Chi Kok, Cheung Sha Wan",governor
清曉路,Ching Hiu Road,上水,Sheung Shui,None
青康路,Ching Hong Road,青衣,Tsing Yi,None
青蓮台,Ching Lin Terrace,堅尼地城,Kennedy Town,None
澄平街,Ching Ping Street,油麻地,Yau Ma Tei,None
靜修里,Ching Sau Lane,赤柱,Stanley,None
靖山街,Ching Shan Street,紅磡,Hung Hom,None
清城路,Ching Shing Road,上水,Sheung Shui,None
正德街,Ching Tak Street,黃大仙,Wong Tai Sin,None
清華街,Ching Wah Street,北角,North Point,None
清攸路,Ching Yau Road,潭尾,Tam Mei,None
青楊路,Ching Yeung Avenue,牛池灣,Ngau Chi Wan,None
朝光街,Chiu Kwong Street,西營盤,Sai Ying Pun,None
昭隆街,Chiu Lung Street,中環,Central,None
昭信路,Chiu Shun Road,將軍澳,Tseung Kwan O,None
照潭徑,Chiu Tam Path,荃灣,Tsuen Wan,None
草園街,Cho Yuen Street,油塘,Yau Tong,None
彩竹街,Choi Chuk Street,黃大仙,Wong Tai Sin,None
彩暉街,Choi Fai Street,上水,Sheung Shui,None
彩發街,Choi Fat Street,上水,Sheung Shui,None
彩鳳徑,Choi Fung Path,牛池灣,Ngau Chi Wan,None
彩霞道,Choi Ha Road,牛頭角,Ngau Tau Kok,None
彩禧路,Choi Hei Road,牛頭角,Ngau Tau Kok,None
彩興里,Choi Hing Lane,牛池灣,Ngau Chi Wan,None
彩興路,Choi Hing Road,牛頭角,Ngau Tau Kok,None
彩虹道,Choi Hung Road,新蒲崗、黃大仙,"San Po Kong, Wong Tai Sin",None
彩明街,Choi Ming Street,將軍澳,Tseung Kwan O,None
彩沙街,Choi Sha Street,馬鞍山,Ma On Shan,None
彩石里,Choi Shek Lane,牛池灣,Ngau Chi Wan,None
彩石道,Choi Shek Road,牛池灣,Ngau Chi Wan,None
彩順街,Choi Shun Street,上水,Sheung Shui,None
彩雲道,Choi Wan Road,牛頭角,Ngau Tau Kok,None
彩榮里,Choi Wing Lane,牛頭角,Ngau Tau Kok,None
彩榮路,Choi Wing Road,牛頭角,Ngau Tau Kok,None
蔡意橋路,Choi Yee Bridge Road,屯門,Tuen Mun,None
彩頤里,Choi Yee Lane,新蒲崗,San Po Kong,None
彩園路,Choi Yuen Road,上水,Sheung Shui,None
創富道,Chong Fu Road,柴灣,Chai Wan,None
創新路,Chong San Road,大埔滘,Tai Po Kau,None
創業街,Chong Yip Street,觀塘,Kwun Tong,None
川龍街,Chuen Lung Street,荃灣,Tsuen Wan,None
全安路,Chuen On Road,大埔,Tai Po,None
翠竹街,Chui Chuk Street,黃大仙,Wong Tai Sin,None
翠杏街,Chui Hang Street,柴灣,Chai Wan,None
翠群徑,Chui Kwan Drive,東涌,Tung Chung,None
翠嶺里,Chui Ling Lane,將軍澳,Tseung Kwan O,None
翠嶺路,Chui Ling Road,將軍澳,Tseung Kwan O,None
翠樂街,Chui Lok Street,大埔,Tai Po,None
翠柏路,Chui Pak Road,元朗,Yuen Long,None
翠善街,Chui Shin Street,將軍澳,Tseung Kwan O,None
翠田街,Chui Tin Street,大圍,Tai Wai,None
翠塘路,Chui Tong Road,西貢,Sai Kung,None
翠桐里,Chui Tung Lane,元朗,Yuen Long,None
翠和里,Chui Wo Lane,大埔,Tai Po,None
翠欣街,Chui Yan Street,沙田,Sha Tin,None
翠怡街,Chui Yi Street,大埔,Tai Po,None
聚魚道,Chui Yu Road,深水埗,Sham Shui Po,None
竹角路,Chuk Kok Road,西貢,Sai Kung,None
竹居台,Chuk Kui Terrace,灣仔,Wan Chai,None
竹連里,Chuk Lin Lane,上環,Sheung Wan,None
祝運街,Chuk Wan Street,上水,Sheung Shui,None
竹攸路,Chuk Yau Road,潭尾,Tam Mei,None
竹洋路,Chuk Yeung Road,西貢,Sai Kung,None
竹園道,Chuk Yuen Road,黃大仙,Wong Tai Sin,None
駿昌街,Chun Cheong Street,將軍澳,Tseung Kwan O,None
駿才街,Chun Choi Street,將軍澳,Tseung Kwan O,None
春暉道,Chun Fai Road,銅鑼灣,Causeway Bay,None
春暉台,Chun Fai Terrace,銅鑼灣,Causeway Bay,None
駿群路,Chun Kwan Road,東涌,Tung Chung,None
駿光街,Chun Kwong Street,將軍澳,Tseung Kwan O,None
駿明路,Chun Ming Road,赤鱲角,Chek Lap Kok,None
圳邊街,Chun Pin Street,葵涌,Kwai Chung,None
駿坪路,Chun Ping Road,赤鱲角,Chek Lap Kok,None
真善路,Chun Shin Road,潭尾,Tam Mei,None
春勝街,Chun Shing Street,跑馬地,Happy Valley,None
駿昇街,Chun Sing Street,將軍澳,Tseung Kwan O,None
春田街,Chun Tin Street,紅磡,Hung Hom,None
振華道,Chun Wah Road,牛頭角,Ngau Tau Kok,None
駿運路,Chun Wan Road,赤鱲角,Chek Lap Kok,None
駿運北路,Chun Wan Road North,赤鱲角,Chek Lap Kok,None
駿運南路,Chun Wan Road South,赤鱲角,Chek Lap Kok,None
駿宏街,Chun Wang Street,將軍澳,Tseung Kwan O,None
振榮街,Chun Wing Street,大角咀,Tai Kok Tsui,None
親仁街,Chun Yan Street,黃大仙,Wong Tai Sin,None
駿日街,Chun Yat Street,將軍澳,Tseung Kwan O,astronomical
春秧街,Chun Yeung Street,北角,North Point,None
真義里,Chun Yi Lane,何文田,Ho Man Tin,None
俊賢坊,Chun Yin Square,元朗,Yuen Long,None
駿盈街,Chun Ying Street,將軍澳,Tseung Kwan O,None
駿裕路,Chun Yue Road,赤鱲角,Chek Lap Kok,None
中翔路,Chung Cheung Road,赤鱲角,Chek Lap Kok,None
忠正街,Chung Ching Street,西營盤,Sai Ying Pun,None
忠孝街,Chung Hau Street,何文田,Ho Man Tin,None
中興新街,Chung Hing San Street,長洲,Cheung Chau,None
中興街,Chung Hing Street,長洲,Cheung Chau,None
中學路,Chung Hok Road,長洲,Cheung Chau,None
舂磡角道,Chung Hom Kok Road,赤柱、舂坎角,"Stanley, Chung Hom Kok",None
中景道,Chung King Road,上環,Sheung Wan,None
中港道,Chung Kong Road,上環,Sheung Wan,None
松菊徑,Chung Kuk Path,古洞,Kwu Tung,None
松嶺里,Chung Ling Lane,沙田,Sha Tin,None
松齡徑,Chung Ling Path,屯門,Tuen Mun,None
松嶺路,Chung Ling Road,大圍,Tai Wai,None
忠民街,Chung Man Street,何文田,Ho Man Tin,None
涌美路,Chung Mei Road,青衣,Tsing Yi,None
