Message,Datetime
為配合中環灣仔繞道的建造工程，連接民寶街與金融街(東行)的臨時支路仍然封閉，禁止所有車輛駛入。,2015-01-01 HKT 14:40
為配合道路工程，直至下午四時，介乎上環孖沙街至禧利街之間的一段畢街需暫時封閉，禁止所有車輛駛入。,2015-01-01 HKT 14:20
東九龍走廊往紅隧交通暫時正常。,2015-01-01 HKT 14:00
為配合於港島區舉行的遊行活動，由下午二時三十分起，北角馬寶道、琴行街、英皇道、高士威道(西行)等道路將會實施間歇性封閉，直至人群散去為止。,2015-01-01 HKT 13:40
堅拿道天橋往紅隧，龍尾：橋面燈位。,2015-01-01 HKT 13:20
公主道往紅隧，龍尾：康莊道橋面。,2015-01-01 HKT 13:00
較早前紅磡海底隧道九龍入口往港島方向，近理工大學對開的交通意外已清理，車龍有待消散。,2015-01-01 HKT 12:53
山頂廣場的公眾停車位已泊滿，市民請儘量避免駕車前往。,2015-01-01 HKT 12:52
紅磡海底隧道九龍入口往港島方向，近理工大學對開有交通意外，一帶車多。,2015-01-01 HKT 12:42
告士打道東行往紅隧，龍尾：汽車會。,2015-01-01 HKT 12:20
為配合中環灣仔繞道的建造工程，連接民寶街與金融街(東行)的臨時支路仍然封閉，禁止所有車輛駛入。,2015-01-01 HKT 12:00
紅磡海底隧道九龍入口，近收費廣場對開一段車多。,2015-01-01 HKT 11:40
為配合在維多利亞公園舉行的工展會活動，由下午四時至午夜十二時，景隆街以東的駱克道、東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-01 HKT 11:20
為配合於港島區舉行的遊行活動，由下午二時三十分起，北角馬寶道、琴行街、英皇道、高士威道(西行)等道路將會實施間歇性封閉，直至人群散去為止。,2015-01-01 HKT 11:00
各區隧道出入口交通大致暢順。,2015-01-01 HKT 10:45
港島及九龍區的封路措施仍然繼續。,2015-01-01 HKT 00:50
紅磡海底隧道港島及九龍入口，近隧道入口範圍的交通略為繁忙。,2015-01-01 HKT 00:30
水灣飛鵝山道 ‎一帶的交通非常繁忙。,2015-01-01 HKT 00:10
受改道措施影響，柯士甸道來往方向的車輛不能轉彌敦道，一帶非常多車。,2015-01-01 HKT 00:00
今晚屯門公路市中心段有隔音屏工程，0145至0600期間，屯門公路往屯門通往皇珠路的支路；皇珠路東行通往屯門公路的支路分別會封閉。,2015-01-02 HKT 20:05
港鐵荃灣綫之列車服務現已回復正常。,2015-01-02 HKT 19:39
公主道過海，龍尾：康莊道橋面。,2015-01-02 HKT 19:30
大圍車公廟路一帶有臨時交通安排 ，所有車輛禁止由車公廟路東行左轉田心街。,2015-01-02 HKT 19:15
因有多宗乘客求助事件，港鐵荃灣綫現時稍有延誤，由荃灣至中環的整體車程可能會較平常多5至10分鐘。,2015-01-02 HKT 19:08
較早前灣仔軒尼詩道東行往銅鑼灣方向，近分域街快線意外已清理，消散中的車龍：金鐘道近太古廣場。,2015-01-02 HKT 18:47
灣仔軒尼詩道東行往銅鑼灣方向，近分域街快線有意外，龍尾：金鐘道近太古廣場。,2015-01-02 HKT 18:29
受多車影響，香港仔隧道往紅磡海底隧道及往灣仔的支路要改為『間歇性通車』。,2015-01-02 HKT 18:07
告士打道東行往北角及跑馬地方向擠塞，龍尾：夏愨道紅十字會。,2015-01-02 HKT 18:00
大圍車公廟路一帶有臨時交通安排 ，所有車輛禁止由車公廟路東行左轉田心街。(至31/1/15),2015-01-02 HKT 17:45
紅磡海底隧道九龍往港島方向，只是收費廣場一段比較車多。,2015-01-02 HKT 17:30
堅拿道天橋過海及香港仔隧道慢線往灣仔，龍尾：隧道出口,2015-01-02 HKT 17:15
北角電照街有工程，渣華道以北的一段電照街臨時實施單線雙程行車。,2015-01-02 HKT 17:00
較早前太子道東往觀塘，近彩虹村快線意外已清場，一帶交通回復正常。,2015-01-02 HKT 16:54
太子道東往觀塘，近彩虹村快線有意外，龍尾：譽港灣。,2015-01-02 HKT 16:38
灣仔波斯富街有擴闊行人路工程，波斯富街南行往禮頓道方向，近羅素街部份左線封閉。,2015-01-02 HKT 16:20
銅鑼灣維多利亞公園有工展會活動，由現在至午夜12時期間，景隆街以東的駱克道、東角道、百德新街以西的記利佐治街會臨時封閉。 ,2015-01-02 HKT 16:00
北角糖水道天橋洩漏氣體事故清場，一帶封路重開。,2015-01-02 HKT 15:47
北角糖水道天橋有洩漏氣體事故，天橋北行近東區走廊段暫時封閉不能通車。,2015-01-02 HKT 15:37
佐敦長樂街火警事故清場，一帶回復正常行車。,2015-01-02 HKT 15:35
太子道西往旺角方向，近嘉道理道的意外清場，交通回復正常。,2015-01-02 HKT 15:25
太子道西往旺角方向，近嘉道理道中線有意外，龍尾：窩打老道。,2015-01-02 HKT 15:00
灣仔波斯富街有擴闊行人路工程，波斯富街南行往禮頓道方向，近羅素街部份左線封閉。,2015-01-02 HKT 14:45
中區己連拿利有臨時工程，由現在至下午4 時，連接己連拿利迴旋處至干德道西行的支路會臨時封閉。,2015-01-02 HKT 14:30
佐敦長樂街有火警事故，影響彌敦道尖沙咀方向的車輛暫時不能左轉長樂街，一帶多車，龍尾：甘肅街。,2015-01-02 HKT 14:15
公主道過海及尖沙咀分別多車，龍尾：油站。   ,2015-01-02 HKT 14:00
北角電照街有工程，渣華道以北的一段電照街臨時實施單線雙程行車。(至1/4 1800),2015-01-02 HKT 13:50
港深西部公路往深圳，近廈村的意外清場，龍尾有待消散。,2015-01-02 HKT 13:37
較早前大坑道往銅鑼灣方向，近畢拉山道交通意外已清理。,2015-01-02 HKT 13:30
因交通意外，港深西部公路往深圳，近廈村對開一段快及中線封閉。,2015-01-02 HKT 13:15
因交通意外，港深西部公路往深圳，近廈村對開一段全線封閉。,2015-01-02 HKT 13:06
香港仔隧道慢線往灣仔擠塞，龍尾：香港仔隧道灣仔出口。,2015-01-02 HKT 13:05
較早前漆咸道南往紅隧方向，近理工大學對開第２線意外已清理。,2015-01-02 HKT 12:47
大坑道往銅鑼灣方向，近畢拉山道有交通意外，龍尾：藍塘道。,2015-01-02 HKT 12:45
漆咸道南往紅隧方向，近理工大學對開第２線有意外，一帶車多。,2015-01-02 HKT 12:15
呈祥道往觀塘，近蝴蝶谷道快線交通意外已清理，交通回復正常。,2015-01-02 HKT 11:53
東九龍走廊往紅隧交通暫時正常。,2015-01-02 HKT 11:30
公主道往紅隧，龍尾：紅磡警署。,2015-01-02 HKT 11:16
較旱前高士威道往中環方向，近信德街快線的交通意外已清理，龍尾有待消散。,2015-01-02 HKT 10:57
高士威道往中環方向，近信德街快線有交通意外，一段車多。,2015-01-02 HKT 10:20
呈祥道往觀塘，近蝴蝶谷道快線有交通意外，龍尾：盈暉臺。,2015-01-02 HKT 09:51
堅拿道天橋往紅隧交通暫時正常。,2015-01-02 HKT 09:45
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-01-02 HKT 09:30
加士居道往紅隧，龍尾：衛理道。,2015-01-02 HKT 09:15
東九龍走廊往紅隧，龍尾：淅江街。,2015-01-02 HKT 09:00
較早前屯門皇珠路往屯門公路方向，近屯門鄉事會路慢線的壞車已清場，龍尾：海皇路。,2015-01-02 HKT 08:53
屯門皇珠路往屯門公路方向，近屯門鄉事會路的慢線有壞車，龍尾：海皇路。,2015-01-02 HKT 08:45
將軍澳隧道往九龍方向，龍尾：茵怡花園。,2015-01-02 HKT 08:30
較早前屯門公路往九龍方向，近小欖的慢線的壞車已清理，一帶車多。,2015-01-02 HKT 08:15
屯門公路往九龍方向，近小欖的慢線有壞車，龍尾：掃管笏。,2015-01-02 HKT 08:10
公主道往紅隧，龍尾：康莊道橋面。,2015-01-02 HKT 08:00
告士打道東行往紅隧交通暢順。,2015-01-02 HKT 07:45
較早前觀塘繞道往旺角方向，近海濱道公園的壞車已清理。,2015-01-02 HKT 07:27
觀塘繞道往旺角方向，近海濱道公園有壞車，暫時未影響交通，經過小心。,2015-01-02 HKT 07:15
為配合渠務工程，介乎長沙灣保安道至順寧道的一段長發街臨時封閉，禁止所有車輛駛入。,2015-01-02 HKT 07:00
為配合維多利亞公園舉行工展會，今日由下午四時至午夜十二時，景隆街以東的駱克道；東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-02 HKT 06:45
公主道往紅隧，龍尾：康莊道橋面。,2015-01-03 HKT 18:20
龍翔道往荃灣方向，近竹園道對開有交通意外，龍尾：星河明居。,2015-01-03 HKT 18:10
獅子山隧道九龍入口，窩打老道往沙田，龍尾：油站。,2015-01-03 HKT 18:00
告士打道東行往紅隧，龍尾：稅務大樓。,2015-01-03 HKT 17:40
受爆水管影響，荃灣川龍街介乎新村街與河背街一段，全線仍然封閉。,2015-01-03 HKT 17:20
為配合中環灣仔繞道的建造工程，連接民寶街與金融街(東行)的臨時支路仍然封閉，禁止所有車輛駛入。,2015-01-03 HKT 17:00
紅磡海底隧道九龍入口，近收費廣場對開一段車多。,2015-01-03 HKT 16:40
較早前加士居道天橋往大角咀方向，近女童軍總會的壞車已拖走，橋面解封，一帶仍然擠塞，龍尾：上鄉道。,2015-01-03 HKT 16:19
加士居道天橋往大角咀方向，近女童軍總會有壞車阻路，橋面封閉，龍尾：蕪湖街。,2015-01-03 HKT 15:51
東九龍走廊往紅隧交通回復正常。,2015-01-03 HKT 15:40
為配合在維多利亞公園舉行的工展會活動，由下午四時至午夜十二時，景隆街以東的駱克道、東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-03 HKT 15:20
為配合道路工程，直至下午四時，連接己連拿利迴旋處與干德道西行的支路暫時封閉；駕駛人士需改行羅便臣道及旭龢道前往干德道。,2015-01-03 HKT 15:00
東九龍走廊往紅隧及尖沙咀方向擠塞，龍尾：落山道。,2015-01-03 HKT 14:40
高士威道東行往北角方向車多繁忙。,2015-01-03 HKT 14:20
較早前加士居道天橋往大角咀方向，近油麻地停車場的交通意外已清理，一帶仍然擠塞，龍尾：啟德隧道出口。,2015-01-03 HKT 13:58
加士居道天橋往大角咀方向，近油麻地停車場有交通意外，龍尾：北拱街。,2015-01-03 HKT 13:49
渡船街天橋往加士居道方向，近駿發花園一段車多，龍尾：果欄。,2015-01-03 HKT 13:20
高士威道往禮頓道方向擠塞，龍尾：興發街。,2015-01-03 HKT 13:00
堅拿道天橋往紅隧，龍尾：馬會大樓。,2015-01-03 HKT 12:40
較早前伊榮街往渣甸街，近香港酒店的壞車已清理，龍尾有待消散。,2015-01-03 HKT 12:15
伊榮街往渣甸街，近香港酒店有壞車，龍尾：高士威道近柏景台。,2015-01-03 HKT 11:56
告士打道東行往紅隧，龍尾：汽車會。,2015-01-03 HKT 11:20
受水管爆裂影響，荃灣川龍街介乎新村街與河背街，全線現已封閉。,2015-01-03 HKT 11:00
堅拿道天橋往紅隧交通暫時正常。,2015-01-03 HKT 10:40
為配合渠務工程，介乎長沙灣保安道至順寧道的一段長發街臨時封閉，禁止所有車輛駛入。,2015-01-03 HKT 10:20
加士居道往紅隧，龍尾：渡船街果欄。,2015-01-03 HKT 10:00
較早前夏愨道天橋東行往銅鑼灣方向，近中環軍營對開的交通意外已清理，車龍有待消散。,2015-01-03 HKT 09:29
夏愨道天橋東行往銅鑼灣方向，近中環軍營對開有交通意外，龍尾：干諾道中近林士街多層停車場。,2015-01-03 HKT 09:22
為配合渠務工程，直至下午六時，火炭桂地新村路近收費錶泊車位的一段需暫時封閉。,2015-01-03 HKT 09:20
公主道往紅隧，龍尾：康莊道橋面。,2015-01-03 HKT 09:00
為配合道路工程，由上午十時三十分至下午四時，連接己連拿利迴旋處與干德道西行的支路將暫時封閉；駕駛人士需改行羅便臣道及旭龢道前往干德道。,2015-01-03 HKT 08:40
紅磡海底隧道九龍入口，近收費廣場對開一段車多。,2015-01-03 HKT 08:20
為配合中環灣仔繞道的建造工程，連接民寶街與金融街(東行)的臨時支路仍然封閉，禁止所有車輛駛入。,2015-01-03 HKT 08:00
各區隧道出入口交通大致暢順。,2015-01-03 HKT 07:45
堅拿道天橋往紅隧，龍尾：香港仔隧道管道出口。,2015-01-04 HKT 18:20
較早前旺角道往洗衣街方向，近塘尾道交通意外已清理。,2015-01-04 HKT 17:50
較早前伊榮街近富豪香港酒店交通意外已清理，車龍有待消散。,2015-01-04 HKT 17:40
伊榮街近富豪香港酒店有交通意外，龍尾：高士威道近興發街。,2015-01-04 HKT 17:20
公主道過海，暫時交通暢順。,2015-01-04 HKT 17:00
堅拿道天橋往紅隧交通暫時正常。,2015-01-04 HKT 16:40
旺角道往洗衣街方向，近塘尾道有交通意外，一帶車多擠塞。,2015-01-04 HKT 16:20
界限街往觀塘方向，近基堤道有交通意外，龍尾：啟基學校。,2015-01-04 HKT 16:00
受緊急水務維修影響，衙前圍道往旺角方向，介乎南角道與衙前塱道的慢線封閉。,2015-01-04 HKT 15:40
渡船街天橋往加士居道方向交通正常。,2015-01-04 HKT 15:20
受水務急修影響，黃竹坑道往香港仔隧道方向，近門牌５３號的慢線封閉。,2015-01-04 HKT 15:00
加士居道往紅隧方向交通正常。,2015-01-04 HKT 14:40
東九龍走廊過海，暫時交通正常。,2015-01-04 HKT 14:20
為配合維多利亞公園舉行工展會，今日由下午四時至午夜十二時，景隆街以東的駱克道；東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-04 HKT 14:00
公主道過海，收費廣場對出車多。,2015-01-04 HKT 13:40
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-01-04 HKT 13:20
堅拿道天橋往紅隧交通暫時正常。,2015-01-04 HKT 13:00
受緊急水務維修影響，衙前圍道往旺角方向，介乎南角道與衙前塱道的慢線封閉。,2015-01-04 HKT 12:40
加士居道往紅隧方向交通正常。,2015-01-04 HKT 12:20
東九龍走廊過海，暫時交通正常。,2015-01-04 HKT 12:00
公主道過海，暫時交通暢順。,2015-01-04 HKT 11:40
較早前受水管爆裂影響而封閉的荃灣川龍街介乎新村街與河背街全線解封。,2015-01-04 HKT 11:20
受緊急水務維修影響，衙前圍道往旺角方向，介乎南角道與衙前塱道的慢線封閉。,2015-01-04 HKT 11:00
告士打道東行往紅隧交通暢順。,2015-01-04 HKT 10:40
葵涌貨櫃碼頭南路有臨時交通安排：由現在至明日早上0800期間，貨櫃碼頭南路由八號迴旋處至昂船洲大橋東面橋塔外盡頭段會臨時封閉，禁止所有車輛駛入。,2015-01-05 HKT 20:00
受多車影響，銅鑼灣怡和街、高士威道、興發街一帶的交通較為擠塞。,2015-01-05 HKT 19:50
受突發事件影響，灣仔春園街近皇后大道東一帶仍然不能通車。,2015-01-05 HKT 19:40
東區海底隧道及大老山隧道分別回復正常；獅子山隧道往沙田，龍尾：油站。,2015-01-05 HKT 19:35
觀塘繞道往將軍澳方向，近順業街意外清場，消散中龍尾：機電工程署。,2015-01-05 HKT 19:25
屯門公路往屯門方向，近兆康苑對開的壞車已經離開，龍尾有待消散。,2015-01-05 HKT 19:20
屯門公路往屯門方向，近掃管笏段意外清場，龍尾有待消散。,2015-01-05 HKT 19:15
屯門公路往屯門方向，近掃管笏段慢線有意外，龍尾：小欖。,2015-01-05 HKT 19:10
東區海底隧道港島入口，龍尾：東港中心；大老山隧道九龍入口，龍尾：彩虹隔音槽。,2015-01-05 HKT 19:05
受突發事件影響，灣仔春園街全線封閉。,2015-01-05 HKT 18:52
屯門公路往屯門方向，近兆康對開快線有壞車阻路，龍尾：小欖。,2015-01-05 HKT 18:46
較早前元朗公路往元朗方向，近福亨村的交通意外已清理，消散中龍尾：屯門市中心。,2015-01-05 HKT 18:22
觀塘繞道往將軍澳方向，近順業街慢線有交通意外，龍尾：九龍灣國際展貿中心。,2015-01-05 HKT 18:21
東區海底隧道港島入口，龍尾：東港中心。,2015-01-05 HKT 18:15
告士打道東行往紅隧，龍尾：稅務大樓。,2015-01-05 HKT 18:00
元朗公路往元朗方向，近福亨村有交通意外，中、快線受阻，一帶車多。,2015-01-05 HKT 17:44
受緊急水務維修影響，衙前圍道往旺角方向，介乎南角道與衙前塱道一段慢線仍然封閉。,2015-01-05 HKT 17:30
紅磡海底隧道九龍往港島方向，交通暫時暢順。,2015-01-05 HKT 17:15
告士打道西行往紅隧，龍尾：景隆街。,2015-01-05 HKT 17:00
山頂道上山方向，近白加道的臨時工程已完成，來回方向行車回復正常，車龍有待消散。,2015-01-05 HKT 16:48
加士居道往紅隧方向交通正常。,2015-01-05 HKT 16:30
受修路工程影響，山頂道上山方向，近白加道一段現正實施單線雙程行車，一帶擠塞，馬己仙峽道上山方向龍尾：麥當勞道。,2015-01-05 HKT 16:15
加士居道天橋往大角咀方向車多，龍尾：蕪湖街。,2015-01-05 HKT 16:00
為配合在維多利亞公園舉行的工展會活動，由下午四時至午夜十二時，景隆街以東的駱克道、東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-05 HKT 15:50
堅拿道天橋往紅隧，龍尾：香港仔隧道管道出口。,2015-01-05 HKT 15:35
葵涌貨櫃碼頭南路有臨時交通安排：由1500起至明日早上0800期間，貨櫃碼頭南路由八號迴旋處至昂船洲大橋東面橋塔外盡頭段會臨時封閉，禁止所有車輛駛入。,2015-01-05 HKT 15:10
山頂道近白加道有臨時工程，上山方向多車，龍尾：馬己仙峽道。,2015-01-05 HKT 14:50
西貢公路有臨時工程，由現在至1600，西貢公路往西貢方向介乎大涌口路至滘西新村路一段會封閉。,2015-01-05 HKT 14:40
鰂魚涌糖廠街一帶有水管更換工程，由現在至1600期間，禁止所有長逾8米的車輛由糖廠街左轉入海光街。,2015-01-05 HKT 14:25
汀九橋往屯門公路方向，橋面段有臨時工程，一帶多車。,2015-01-05 HKT 14:10
亞皆老街往大角咀方向，近洗衣街因爆水管，部份行車線封閉，一帶多車。,2015-01-05 HKT 13:50
葵涌貨櫃碼頭南路有臨時交通安排：由1500起至明日早上0800期間，貨櫃碼頭南路由八號迴旋處至昂船洲大橋東面橋塔外盡頭段會臨時封閉，禁止所有車輛駛入。,2015-01-05 HKT 13:40
受水管爆裂影響，九龍城賈炳達道往聯合道方向介乎龍崗道與城南街，全線現已封閉。,2015-01-05 HKT 13:23
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-01-05 HKT 13:05
較早前吐露港公路往上水，近馬料水對開第三，四線意外已清理，車龍有待消散，龍尾：沙田污水處理廠。,2015-01-05 HKT 12:47
吐露港公路往上水，近馬料水對開第三，四線有意外，龍尾：沙田污水處理廠。,2015-01-05 HKT 12:30
公主道過海，暫時交通暢順。,2015-01-05 HKT 12:15
吐露港公路往上水，近馬料水對開第三，四線有意外，龍尾：大學港鐵站。,2015-01-05 HKT 12:00
受水管爆裂影響，九龍城賈炳達道往聯合道方向介乎龍崗道與城南街，全線現已封閉。,2015-01-05 HKT 11:45
較早前大埔公路往九龍，近銀禧花園慢線的交通意外已清理，龍尾有待消散。,2015-01-05 HKT 11:30
較早前亞皆老街往大角咀方向，近新填地街一，二線的交通意外已清場，一帶仍然車多。,2015-01-05 HKT 11:25
堅拿道天橋往海底隧道，龍尾：馬會大樓。,2015-01-05 HKT 11:15
大埔公路往九龍，近銀禧花園慢線有交通意外，龍尾：駿景園。,2015-01-05 HKT 10:57
較早前渡船街往尖沙咀，近佐敦道燈位中線的意外已清理，交通回復正常。,2015-01-05 HKT 10:56
較早前官塘開源道迴旋處的交通意外已清理，一帶仍然車多，龍尾有待消散。,2015-01-05 HKT 10:32
官塘開源道迴旋處有交通意外，影響觀塘道往油塘方向，龍尾：牛頭角港鐵站；觀塘道往旺角方向，龍尾：茶果嶺道。,2015-01-05 HKT 10:20
亞皆老街往大角咀方向，近新填地街一，二線有交通意外，龍尾：勝利道。,2015-01-05 HKT 10:15
較早前紅棉路上山方向，近麥當勞道對開慢線的壞車已清理，龍尾：力保中心。,2015-01-05 HKT 10:04
渡船街往尖沙咀，近佐敦道燈位中線有意外，龍尾：果欄。,2015-01-05 HKT 09:55
紅棉路上山方向，近麥當勞道對開慢線有壞車，龍尾：力保中心。,2015-01-05 HKT 09:50
較早前香港仔海傍道往薄扶林道方向，近魚市場中線的交通意外已清理，龍尾：香港仔市中心。,2015-01-05 HKT 09:33
較早前太子道東往觀塘，近采頤花園快線對開的交通意外已清理，一帶車多。,2015-01-05 HKT 09:30
太子道東往觀塘，近采頤花園快線對開有交通意外，龍尾：寶光商業中心。,2015-01-05 HKT 09:20
較早前漆咸道北往九龍城方向，近蕪湖街第三，四線的交通意外已清場，龍尾有待消散。,2015-01-05 HKT 09:09
漆咸道北往九龍城方向，近蕪湖街第三，四線有交通意外，龍尾：加士居道近女童軍總會。,2015-01-05 HKT 09:02
香港仔海傍道往薄扶林道方向，近魚市場中線有交通意外，龍尾：香港仔市中心。,2015-01-05 HKT 08:44
較早前黃竹坑道往香港仔隧道方向，近甄沾記大廈對開中快線的交通意外已清理，一帶非常擠塞，車龍有待消散，龍尾：石排灣道。,2015-01-05 HKT 08:28
較早前長沙灣道往旺角方向，近蝴蝶谷道對開中線的交通意外已清理。,2015-01-05 HKT 08:09
長沙灣道往旺角方向，近蝴蝶谷道對開中線有交通意外，一帶車多。,2015-01-05 HKT 07:46
公主道往紅隧，龍尾：愛民邨。,2015-01-05 HKT 07:40
黃竹坑道往香港仔隧道方向，近甄沾記大廈對開中快線有交通意外，一帶非常擠塞，龍尾：香港仔市中心；同時亦影響鴨脷洲橋往黃竹坑道擠塞。,2015-01-05 HKT 07:20
為配合渠務工程，介乎長沙灣保安道至順寧道的一段長發街臨時封閉，禁止所有車輛駛入。,2015-01-05 HKT 07:00
為配合維多利亞公園舉行工展會，今日由下午四時至午夜十二時，景隆街以東的駱克道；東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-05 HKT 06:45
今晚紅磡漆咸道北一帶有臨時工程，0130至0530期間，漆咸道北行車隧道會全線封閉；東九龍走廊南行 介乎北拱街至蕪湖街一段快線會封閉。,2015-01-06 HKT 20:05
火炭路往城門河方向，近體藝中學對開意外清場，交通回復暢順。,2015-01-06 HKT 20:00
龍翔道往觀塘，近天馬苑快線意外清場，交通回復暢順。,2015-01-06 HKT 19:40
東區海底隧道往九龍、獅子山隧道及大老山隧道往沙田，交通分別回復暢順。,2015-01-06 HKT 19:38
龍翔道往觀塘，近坪石邨橋面一帶交通回復正常。,2015-01-06 HKT 19:35
龍翔道往觀塘，近天馬苑快線較早前有意外，一帶仍然塞車，龍尾：畢架山花園。,2015-01-06 HKT 19:30
火炭路往城門河方向，近體藝中學對開中線有意外，龍尾：工業村。,2015-01-06 HKT 19:20
今晚紅磡漆咸道北一帶有臨時工程，0130至0530期間，漆咸道北行車隧道會全線封閉；東九龍走廊南行 介乎北拱街至蕪湖街一段快線會封閉。,2015-01-06 HKT 19:05
龍翔道往觀塘，近天馬苑快線有意外，龍尾：畢架山花園。,2015-01-06 HKT 18:50
東區海底隧道往九龍，龍尾：東港中心；獅子山隧道往沙田，龍尾：油站；大老山隧道往沙田，龍尾：龍翔道橋面。,2015-01-06 HKT 18:40
告士打道東行過海，龍尾：夏愨道近紅十字會總部；西行過海，龍尾：景隆街。 ,2015-01-06 HKT 18:30
大埔公路往九龍，近偉華中心對開的壞巴士已經離開，消散中的龍尾：沙田馬場。,2015-01-06 HKT 18:15
龍翔道往觀塘，近坪石邨橋面段的意外清場，消散中的龍尾：石硤尾。,2015-01-06 HKT 18:09
東區海底隧道往九龍，近隧道入口一帶開始多車。,2015-01-06 HKT 18:00
獅子山隧道往沙田，龍翔道支路一帶較多車。,2015-01-06 HKT 17:45
龍翔道往觀塘，近坪石邨橋面有意外，橋面不能通車，龍尾：天馬苑。,2015-01-06 HKT 17:30
大埔公路往九龍，近偉華中心對開快線有壞巴士阻路，龍尾：賽馬會體藝中學。,2015-01-06 HKT 17:25
公主道過海，暫時交通暢順。,2015-01-06 HKT 17:15
九龍城賈炳達道仍然受爆水管影響，往聯合道方向，介乎龍崗道至城南街一段仍然全線封閉。,2015-01-06 HKT 17:00
銅鑼灣高士威道往灣仔方向，近禮頓道曾經有意外，消散中的龍尾：天后。,2015-01-06 HKT 16:45
亞皆老街近洗衣街因爆水管，往大角咀方向部份行車線仍然封閉。,2015-01-06 HKT 16:25
銅鑼灣高士威道往灣仔方向，近禮頓道有意外，第3線受阻，一帶多車。,2015-01-06 HKT 16:10
紅磡‎漆咸道北行車隧道往觀音街方向非常繁忙，龍尾：油麻地加士居道。,2015-01-06 HKT 16:00
今日開始，灣仔區有新的交通安排：(i) 所有車輛禁止由駱克道西行右轉菲林明道；所有長度逾10米的車輛禁止由菲林明道北行)左轉駱克道。,2015-01-06 HKT 15:45
窩打老道往沙田方向，九龍塘段多車，龍尾：亞皆老街。,2015-01-06 HKT 15:35
鯉魚門道往旺角方向，近茶果嶺道的意外清場，一帶交通回復正常。,2015-01-06 HKT 15:25
中區紅棉路上行，近東昌大廈對開的壞車已經離開，但告士打道西行交通仍然非常繁忙。,2015-01-06 HKT 15:15
鯉魚門道往旺角方向，近茶果嶺道有涉及巴士及的士的意外，一帶擠塞。,2015-01-06 HKT 15:10
受爆水管影響，銅鑼灣道往東院道方向，近聖保祿學校對開一段封閉，一帶擠塞，龍尾：大坑道。,2015-01-06 HKT 15:00
中區紅棉路上行，近東昌大廈對開有壞車阻路，一帶較多車。,2015-01-06 HKT 14:50
爆水管影響，銅鑼灣道往東院道方向，近聖保祿學校對開一段封閉，一帶擠塞，龍尾：英皇道。,2015-01-06 HKT 14:35
油麻地加士居道天橋往土瓜灣方向，近油麻地停車場的壞車已經離開，一帶回復正常行車。,2015-01-06 HKT 14:30
銅鑼灣道近聖保祿學校對開因爆水管，往東院道方向全線封閉。受影響的巴士路線須改道行駛。,2015-01-06 HKT 14:15
